Thread 1: 23:34:52.987, Counter: 214
Thread 1: 23:34:53.239, Counter: 215
Thread 3: 23:34:53.269, Counter: 215
Thread 2: 23:34:53.459, Counter: 215
Thread 1: 23:34:53.505, Counter: 216
Thread 1: 23:34:53.770, Counter: 217
Thread 2: 23:34:53.972, Counter: 217
Thread 1: 23:34:54.033, Counter: 218
Thread 3: 23:34:54.281, Counter: 218
Thread 1: 23:34:54.297, Counter: 219
Thread 2: 23:34:54.485, Counter: 219
Thread 1: 23:34:54.562, Counter: 220
Thread 1: 23:34:54.825, Counter: 221
Thread 2: 23:34:54.996, Counter: 221
Thread 1: 23:34:55.089, Counter: 222
Thread 3: 23:34:55.290, Counter: 222
Thread 1: 23:34:55.351, Counter: 223
Thread 2: 23:34:55.502, Counter: 223
Thread 1: 23:34:55.611, Counter: 224
Thread 1: 23:34:55.876, Counter: 225
Thread 2: 23:34:56.017, Counter: 225
Thread 1: 23:34:56.143, Counter: 226
Thread 3: 23:34:56.298, Counter: 226
Thread 1: 23:34:56.408, Counter: 227
Thread 2: 23:34:56.518, Counter: 227
Thread 1: 23:34:56.673, Counter: 228
Thread 1: 23:34:56.938, Counter: 229
Thread 2: 23:34:57.030, Counter: 229
Thread 1: 23:34:57.202, Counter: 230
Thread 3: 23:34:57.311, Counter: 230
Thread 1: 23:34:57.454, Counter: 231
Thread 2: 23:34:57.531, Counter: 231
Thread 1: 23:34:57.718, Counter: 232
Thread 1: 23:34:57.982, Counter: 233
Thread 2: 23:34:58.046, Counter: 233
Thread 1: 23:34:58.247, Counter: 234
Thread 3: 23:34:58.325, Counter: 234
Thread 1: 23:34:58.512, Counter: 235
Thread 2: 23:34:58.558, Counter: 235
Thread 1: 23:34:58.764, Counter: 236
Thread 1: 23:34:59.029, Counter: 237
Thread 2: 23:34:59.061, Counter: 237
Thread 1: 23:34:59.293, Counter: 238
Thread 3: 23:34:59.340, Counter: 238
Thread 1: 23:34:59.558, Counter: 239
Thread 2: 23:34:59.574, Counter: 239
Thread 1: 23:34:59.823, Counter: 240
Thread 2: 23:35:00.089, Counter: 240
Thread 3: 23:35:00.354, Counter: 240
